director_name,duration,gross,genre,movie_title,language,country,budget,imdb_score,,,,,,,,,,,,,,,,,,,,,,
Bryan Singer,169,200069408,Action,Superman Returns ,English,USA,209000000,6.1,,,,,,,,,,Documentary,43,6.951162791,7.3,7.5,8.5,1.6,6.9,1.41612686,2.005415282,,,
Marc Forster,106,168368427,Action,Quantum of Solace ,English,UK,200000000,6.7,,,,,,,,,,Drama,700,6.814428571,6.9,6.7,8.8,2.1,6.7,0.905146841,0.819290803,,,
Gore Verbinski,151,423032628,Action,Pirates of the Caribbean: Dead Man's Chest ,English,USA,225000000,7.3,,,,,,,,,,Family,3,6.5,5.9,#N/A,7.9,5.7,2.2,1.216552506,1.48,,,
Gore Verbinski,150,89289910,Action,The Lone Ranger ,English,USA,215000000,6.5,,,,,,,,,,Fantasy,37,6.281081081,6.5,6.8,7.9,4.3,3.6,0.894066191,0.799354354,,,E. Budget Analysis: 
Zack Snyder,143,291021565,Action,Man of Steel ,English,USA,225000000,7.2,,,,,,,,,,Horror,165,5.850909091,5.9,5.9,8.5,2.3,6.2,1.032083979,1.065197339,,,
Andrew Adamson,150,141614023,Action,The Chronicles of Narnia: Prince Caspian ,English,USA,225000000,6.6,,,,,,,,,,Musical,2,6.75,6.75,#N/A,7.2,6.3,0.9,0.636396103,0.405,,,
Joss Whedon,173,623279547,Action,The Avengers ,English,USA,220000000,8.1,,,,,,,,,,Mystery,24,6.608333333,6.7,7.1,8.5,3.3,5.2,1.0898411,1.187753623,,,
Rob Marshall,136,241063875,Action,Pirates of the Caribbean: On Stranger Tides ,English,USA,250000000,6.7,,,,,,,,,,Romance,2,6.65,6.65,#N/A,7.1,6.2,0.9,0.636396103,0.405,,,
Barry Sonnenfeld,106,179020854,Action,Men in Black 3 ,English,USA,225000000,6.8,,,,,,,,,,Sci-Fi,8,6.5875,6.35,#N/A,8.2,5,3.2,1.031555691,1.064107143,,,
Peter Jackson,164,255108370,Adventure,The Hobbit: The Battle of the Five Armies ,English,New Zealand,250000000,7.5,,,,,,,,,,Thriller,3,5.3,4.8,4.8,6.3,4.8,1.5,0.866025404,0.75,,,
Marc Webb,153,262030663,Action,The Amazing Spider-Man ,English,USA,230000000,7,,,,,,,,,,Western,3,6.766666667,7.3,#N/A,8.9,4.1,4.8,2.444040371,5.973333333,,,
Ridley Scott,156,105219735,Action,Robin Hood ,English,USA,200000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Peter Jackson,186,258355354,Adventure,The Hobbit: The Desolation of Smaug ,English,USA,225000000,7.9,,,,,,,,,,,,,,,,,,,,,,
Chris Weitz,113,70083519,Adventure,The Golden Compass ,English,USA,180000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Peter Jackson,201,218051260,Action,King Kong ,English,New Zealand,207000000,7.2,,,,,,,,,,,,,,,,,,,,,,
James Cameron,194,658672302,Drama,Titanic ,English,USA,200000000,7.7,,,,,,,,,,,,,,,,,,,,,,
Anthony Russo,147,407197282,Action,Captain America: Civil War ,English,USA,250000000,8.2,,,,,,,,,,,,,,,,,,,,,,
Peter Berg,131,65173160,Action,Battleship ,English,USA,209000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Colin Trevorrow,124,652177271,Action,Jurassic World ,English,USA,150000000,7,,,,,,,,,,,,,,,,,,,,,,
Sam Mendes,143,304360277,Action,Skyfall ,English,UK,200000000,7.8,,,,,,,,,,,,,,,,,,,,,,
Sam Raimi,135,373377893,Action,Spider-Man 2 ,English,USA,200000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Shane Black,195,408992272,Action,Iron Man 3 ,English,USA,200000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Tim Burton,108,334185206,Adventure,Alice in Wonderland ,English,USA,200000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Brett Ratner,104,234360014,Action,X-Men: The Last Stand ,English,Canada,210000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Dan Scanlon,104,268488329,Adventure,Monsters University ,English,USA,200000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Michael Bay,150,402076689,Action,Transformers: Revenge of the Fallen ,English,USA,200000000,6,,,,,,,,,,,,,,,,,,,,,,
Michael Bay,165,245428137,Action,Transformers: Age of Extinction ,English,USA,210000000,5.7,,,,,,,,,,,,,,,,,,,,,,
Sam Raimi,130,234903076,Adventure,Oz the Great and Powerful ,English,USA,215000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Marc Webb,142,202853933,Action,The Amazing Spider-Man 2 ,English,USA,200000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Joseph Kosinski,125,172051787,Action,TRON: Legacy ,English,USA,170000000,6.8,,,,,,,,,,,,,,,,,,,,,,
John Lasseter,106,191450875,Adventure,Cars 2 ,English,USA,200000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Martin Campbell,123,116593191,Action,Green Lantern ,English,USA,200000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Lee Unkrich,103,414984497,Adventure,Toy Story 3 ,English,USA,200000000,8.3,,,,,,,,,,,,,,,,,,,,,,
McG,118,125320003,Action,Terminator Salvation ,English,USA,200000000,6.6,,,,,,,,,,B. Movie Duration Analysis: ,,,,,,,,,,,,
James Wan,140,350034110,Action,Furious 7 ,English,USA,190000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Marc Forster,123,202351611,Action,World War Z ,English,USA,190000000,7,,,,,,,,,,Operations,Values,,,,,,,,,,,
Bryan Singer,149,233914986,Action,X-Men: Days of Future Past ,English,USA,200000000,8,,,,,,,,,,Mean,109.901981,,,,,,,,,,,
J.J. Abrams,132,228756232,Action,Star Trek Into Darkness ,English,USA,190000000,7.8,,,,,,,,,,Median,106,,,,,,,,,,,
Bryan Singer,114,65171860,Adventure,Jack the Giant Slayer ,English,USA,195000000,6.3,,,,,,,,,,Mode,101,,,,,,,,,,,
Baz Luhrmann,143,144812796,Drama,The Great Gatsby ,English,Australia,105000000,7.3,,,,,,,,,,Standard Devation,22.7125612,,,,,,,,,,,
Mike Newell,116,90755643,Action,Prince of Persia: The Sands of Time ,English,USA,200000000,6.6,,,,,,,,,,Variance,515.8604361,,,,,,,,,,,
Guillermo del Toro,131,101785482,Action,Pacific Rim ,English,USA,190000000,7,,,,,,,,,,,,,,,,,,,,,,
Michael Bay,154,352358779,Action,Transformers: Dark of the Moon ,English,USA,195000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Steven Spielberg,122,317011114,Action,Indiana Jones and the Kingdom of the Crystal Skull ,English,USA,185000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Mark Andrews,93,237282182,Adventure,Brave ,English,USA,185000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Justin Lin,122,130468626,Action,Star Trek Beyond ,English,USA,185000000,7.5,,,,,,,,,,,,,,,,,,,,,,
Andrew Stanton,98,223806889,Adventure,WALL·E ,English,USA,180000000,8.4,,,,,,,,,,,,,,,,,,,,,,
Brett Ratner,91,140080850,Action,Rush Hour 3 ,English,USA,140000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Roland Emmerich,158,166112167,Action,2012 ,English,USA,200000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Robert Zemeckis,96,137850096,Animation,A Christmas Carol ,English,USA,200000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Lana Wachowski,127,47375327,Action,Jupiter Ascending ,English,USA,176000000,5.4,,,,,,,,,,,,,,,,,,,,,,
David Yates,110,124051759,Action,The Legend of Tarzan ,English,USA,180000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Andrew Adamson,150,291709845,Adventure,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",English,USA,180000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Bryan Singer,144,154985087,Action,X-Men: Apocalypse ,English,USA,178000000,7.3,,,,,,,,,,C. Language Analysis:,,,,,,,,,,,,
Christopher Nolan,152,533316061,Action,The Dark Knight ,English,USA,185000000,9,,,,,,,,,,,,,,,,,,,,,,
Pete Docter,96,292979556,Adventure,Up ,English,USA,175000000,8.3,,,,,,,,,,Language,No_of_Movies,Average_imdb,Median_imdb,Var_imdb,StdDev_imdb,,,,,,,
Rob Letterman,94,198332128,Action,Monsters vs. Aliens ,English,USA,175000000,6.5,,,,,,,,,,Aboriginal,2,6.95,6.95,0.605,0.777817459,,,,,,,
Jon Favreau,126,318298180,Action,Iron Man ,English,USA,140000000,7.9,,,,,,,,,,Arabic,1,7.2,7.2,#DIV/0!,#DIV/0!,,,,,,,
Martin Scorsese,126,73820094,Adventure,Hugo ,English,USA,170000000,7.5,,,,,,,,,,Aramaic,1,7.1,7.1,#DIV/0!,#DIV/0!,,,,,,,
Barry Sonnenfeld,106,113745408,Action,Wild Wild West ,English,USA,170000000,4.8,,,,,,,,,,Bosnian,1,4.3,4.3,#DIV/0!,#DIV/0!,,,,,,,
Rob Cohen,112,102176165,Action,The Mummy: Tomb of the Dragon Emperor ,English,USA,145000000,5.2,,,,,,,,,,Cantonese,8,7.2375,7.3,0.194107143,0.440575922,,,,,,,
David Ayer,123,161087183,Action,Suicide Squad ,English,USA,175000000,6.9,,,,,,,,,,Czech,1,7.4,7.4,#DIV/0!,#DIV/0!,,,,,,,
Tom Shadyac,96,100289690,Comedy,Evan Almighty ,English,USA,175000000,5.4,,,,,,,,,,Danish,3,7.9,8.1,0.28,0.529150262,,,,,,,
Doug Liman,113,100189501,Action,Edge of Tomorrow ,English,USA,178000000,7.9,,,,,,,,,,Dari,2,7.5,7.4,0.542205882,0.736346306,,,,,,,
Kevin Reynolds,176,88246220,Action,Waterworld ,English,USA,175000000,6.1,,,,,,,,,,Dutch,3,7.566666667,7.8,0.163333333,0.404145188,,,,,,,
Stephen Sommers,118,150167630,Action,G.I. Joe: The Rise of Cobra ,English,USA,175000000,5.8,,,,,,,,,,Dzongkha,1,7.5,7.5,#DIV/0!,#DIV/0!,,,,,,,
Pete Docter,95,356454367,Adventure,Inside Out ,English,USA,175000000,8.3,,,,,,,,,,English,3706,6.42172619,6.5,1.104471754,1.050938511,,,,,,,
Jon Favreau,106,362645141,Adventure,The Jungle Book ,English,UK,175000000,7.8,,,,,,,,,,Filipino,1,6.7,6.7,#DIV/0!,#DIV/0!,,,,,,,
Jon Favreau,124,312057433,Action,Iron Man 2 ,English,USA,200000000,7,,,,,,,,,,French,37,7.286486486,7.2,0.31509009,0.561328861,,,,,,,
Rupert Sanders,132,155111815,Action,Snow White and the Huntsman ,English,USA,170000000,6.1,,,,,,,,,,German,13,7.692307692,7.7,0.410769231,0.640912811,,,,,,,
Robert Stromberg,97,241407328,Action,Maleficent ,English,USA,180000000,7,,,,,,,,,,Hebrew,3,7.5,7.3,0.19,0.435889894,,,,,,,
Matt Reeves,130,208543795,Action,Dawn of the Planet of the Apes ,English,USA,170000000,7.6,,,,,,,,,,Hindi,10,6.76,7.05,1.236,1.111755369,,,,,,,
Carl Rinsch,128,38297305,Action,47 Ronin ,English,USA,175000000,6.3,,,,,,,,,,Hungarian,1,7.1,7.1,#DIV/0!,#DIV/0!,,,,,,,
Anthony Russo,136,259746958,Action,Captain America: The Winter Soldier ,English,USA,170000000,7.8,,,,,,,,,,Icelandic,1,6.9,6.9,#DIV/0!,#DIV/0!,,,,,,,
Mike Mitchell,93,238371987,Adventure,Shrek Forever After ,English,USA,165000000,6.4,,,,,,,,,,Indonesian,2,7.9,7.9,0.18,0.424264069,,,,,,,
Brad Bird,130,93417865,Action,Tomorrowland ,English,USA,190000000,6.5,,,,,,,,,,Italian,7,7.185714286,7,1.334761905,1.155318962,,,,,,,
Don Hall,102,222487711,Action,Big Hero 6 ,English,USA,165000000,7.9,,,,,,,,,,Japanese,12,7.625,7.8,0.809318182,0.899621132,,,,,,,
Rich Moore,101,189412677,Adventure,Wreck-It Ralph ,English,USA,165000000,7.8,,,,,,,,,,Kazakh,1,6,6,#DIV/0!,#DIV/0!,,,,,,,
Robert Zemeckis,100,665426,Adventure,The Polar Express ,English,USA,165000000,6.6,,,,,,,,,,Korean,5,7.7,7.7,0.325,0.570087713,,,,,,,
Roland Emmerich,120,102315545,Action,Independence Day: Resurgence ,English,USA,165000000,5.5,,,,,,,,,,Mandarin,15,7.08,7.4,0.596,0.772010363,,,,,,,
Dean DeBlois,98,217387997,Adventure,How to Train Your Dragon ,English,USA,165000000,8.2,,,,,,,,,,Maya,1,7.8,7.8,#DIV/0!,#DIV/0!,,,,,,,
Jonathan Mostow,109,150350192,Action,Terminator 3: Rise of the Machines ,English,USA,200000000,6.4,,,,,,,,,,Mongolian,1,7.3,7.3,#DIV/0!,#DIV/0!,,,,,,,
James Gunn,121,333130696,Action,Guardians of the Galaxy ,English,USA,170000000,8.1,,,,,,,,,,None,1,8.5,8.5,#DIV/0!,#DIV/0!,,,,,,,
Christopher Nolan,169,187991439,Adventure,Interstellar ,English,USA,165000000,8.6,,,,,,,,,,Norwegian,4,7.15,7.3,0.33,0.574456265,,,,,,,
Christopher Nolan,148,292568851,Action,Inception ,English,USA,160000000,8.8,,,,,,,,,,Persian,3,8.133333333,8.4,0.303333333,0.550757055,,,,,,,
Peter Jackson,182,303001229,Adventure,The Hobbit: An Unexpected Journey ,English,USA,180000000,7.9,,,,,,,,,,Portuguese,5,7.76,8,0.958,0.978774744,,,,,,,
Rob Cohen,106,144512310,Action,The Fast and the Furious ,English,USA,38000000,6.7,,,,,,,,,,Romanian,1,7.9,7.9,#DIV/0!,#DIV/0!,,,,,,,
David Fincher,166,127490802,Drama,The Curious Case of Benjamin Button ,English,USA,150000000,7.8,,,,,,,,,,Russian,1,6.5,6.5,#DIV/0!,#DIV/0!,,,,,,,
Matthew Vaughn,132,146405371,Action,X-Men: First Class ,English,USA,160000000,7.8,,,,,,,,,,Spanish,26,7.05,7.15,0.6826,0.826196103,,,,,,,
Francis Lawrence,137,281666058,Adventure,The Hunger Games: Mockingjay - Part 2 ,English,USA,160000000,6.6,,,,,,,,,,Swedish,1,7.6,7.6,#DIV/0!,#DIV/0!,,,,,,,
Jon Turteltaub,109,63143812,Action,The Sorcerer's Apprentice ,English,USA,150000000,6.1,,,,,,,,,,Telugu,1,8.4,8.4,#DIV/0!,#DIV/0!,,,,,,,
Wolfgang Petersen,98,60655503,Action,Poseidon ,English,USA,160000000,5.6,,,,,,,,,,Thai,3,6.633333333,6.6,0.203333333,0.450924975,,,,,,,
James Bobin,113,76846624,Adventure,Alice Through the Looking Glass ,English,USA,170000000,6.4,,,,,,,,,,Vietnamese,1,7.4,7.4,#DIV/0!,#DIV/0!,,,,,,,
Chris Miller,93,320706665,Adventure,Shrek the Third ,English,USA,160000000,6.1,,,,,,,,,,Zulu,1,7.3,7.3,#DIV/0!,#DIV/0!,,,,,,,
Duncan Jones,123,46978995,Action,Warcraft ,English,USA,160000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Alan Taylor,126,89732035,Action,Terminator Genisys ,English,USA,155000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Michael Apted,113,104383624,Adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader ,English,USA,155000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Michael Bay,184,198539855,Action,Pearl Harbor ,English,USA,140000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Michael Bay,144,318759914,Action,Transformers ,English,USA,150000000,7.1,,,,,,,,,,,,,,,,,,,,,,
Oliver Stone,206,34293771,Action,Alexander ,English,Germany,155000000,5.5,,,,,,,,,,,,,,,,,,,,,,
David Yates,138,292000866,Adventure,Harry Potter and the Order of the Phoenix ,English,UK,150000000,7.5,,,,,,,,,,,,,,,,,,,,,,
Mike Newell,157,289994397,Adventure,Harry Potter and the Goblet of Fire ,English,UK,150000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Peter Berg,102,227946274,Action,Hancock ,English,USA,150000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Francis Lawrence,104,256386216,Drama,I Am Legend ,English,USA,150000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Tim Burton,115,206456431,Adventure,Charlie and the Chocolate Factory ,English,USA,150000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Brad Bird,111,206435493,Animation,Ratatouille ,English,USA,150000000,8,,,,,,,,,,,,,,,,,,,,,,
Christopher Nolan,128,205343774,Action,Batman Begins ,English,USA,150000000,8.3,,,,,,,,,,,,,,,,,,,,,,
Eric Darnell,89,179982968,Action,Madagascar: Escape 2 Africa ,English,USA,150000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Shawn Levy,105,177243721,Adventure,Night at the Museum: Battle of the Smithsonian ,English,USA,150000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Gavin Hood,119,179883016,Action,X-Men Origins: Wolverine ,English,USA,150000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Lana Wachowski,129,139259759,Action,The Matrix Revolutions ,English,Australia,150000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Chris Buck,102,400736600,Adventure,Frozen ,English,USA,150000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Lana Wachowski,138,281492479,Action,The Matrix Reloaded ,English,USA,150000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Alan Taylor,112,206360018,Action,Thor: The Dark World ,English,USA,170000000,7.1,,,,,,,,,,,,,,,,,,,,,,
George Miller,120,153629485,Action,Mad Max: Fury Road ,English,Australia,150000000,8.1,,,,,,,,,,,,,,,,,,,,,,
Ron Howard,146,133375846,Mystery,Angels & Demons ,English,USA,150000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Kenneth Branagh,115,181015141,Action,Thor ,English,USA,150000000,7,,,,,,,,,,,,,,,,,,,,,,
Byron Howard,96,114053579,Adventure,Bolt ,English,USA,150000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Hoyt Yeatman,88,119420252,Action,G-Force ,English,USA,150000000,5.1,,,,,,,,,,,,,,,,,,,,,,
Jonathan Liebesman,99,83640426,Action,Wrath of the Titans ,English,USA,150000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Tim Burton,113,79711678,Comedy,Dark Shadows ,English,USA,100000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Christopher McQuarrie,131,195000874,Action,Mission: Impossible - Rogue Nation ,English,China,150000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Joe Johnston,119,61937495,Drama,The Wolfman ,English,USA,150000000,5.8,,,,,,,,,,,,,,,,,,,,,,
David Yates,110,124051759,Action,The Legend of Tarzan ,English,USA,180000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Steve Hickner,91,126597121,Adventure,Bee Movie ,English,USA,150000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Jennifer Yuh Nelson,90,165230261,Action,Kung Fu Panda 2 ,English,USA,150000000,7.3,,,,,,,,,,,,,,,,,,,,,,
M. Night Shyamalan,103,131564731,Action,The Last Airbender ,English,USA,150000000,4.2,,,,,,,,,,,,,,,,,,,,,,
J.J. Abrams,124,133382309,Action,Mission: Impossible III ,English,USA,150000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Roland Emmerich,131,73103784,Action,White House Down ,English,USA,150000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Simon Wells,88,21379315,Action,Mars Needs Moms ,English,USA,150000000,5.4,,,,,,,,,,,,,,,,,,,,,,
David Bowers,85,64459316,Adventure,Flushed Away ,English,UK,149000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Joe Wright,111,34964818,Adventure,Pan ,English,USA,150000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Rob Minkoff,92,111505642,Adventure,Mr. Peabody & Sherman ,English,USA,145000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Wolfgang Petersen,196,133228348,Adventure,Troy ,English,USA,175000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Eric Darnell,93,216366733,Adventure,Madagascar 3: Europe's Most Wanted ,English,USA,145000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Lee Tamahori,133,160201106,Action,Die Another Day ,English,UK,142000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Paul Feig,116,118099659,Action,Ghostbusters ,English,USA,144000000,5.5,,,,,,,,,,,,,,,,,,,,,,
Michael Bay,153,201573391,Action,Armageddon ,English,USA,140000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Barry Sonnenfeld,88,190418803,Action,Men in Black II ,English,USA,140000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Robert Zemeckis,115,82161969,Action,Beowulf ,English,USA,150000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Alessandro Carloni,95,143523463,Action,Kung Fu Panda 3 ,English,USA,145000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Brad Bird,133,209364921,Action,Mission: Impossible - Ghost Protocol ,English,USA,145000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Peter Ramsey,97,103400692,Adventure,Rise of the Guardians ,English,USA,145000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Dean Parisot,90,110332737,Comedy,Fun with Dick and Jane ,English,USA,100000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Edward Zwick,154,111110575,Action,The Last Samurai ,English,USA,140000000,7.7,,,,,,,,,,,,,,,,,,,,,,
Ridley Scott,150,65007045,Action,Exodus: Gods and Kings ,English,UK,140000000,6.1,,,,,,,,,,,,,,,,,,,,,,
J.J. Abrams,127,257704099,Action,Star Trek ,English,USA,150000000,8,,,,,,,,,,,,,,,,,,,,,,
Sam Raimi,121,403706375,Action,Spider-Man ,English,USA,139000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Dean DeBlois,102,176997107,Action,How to Train Your Dragon 2 ,English,USA,145000000,7.9,,,,,,,,,,,,,,,,,,,,,,
Alex Proyas,126,31141074,Action,Gods of Egypt ,English,USA,140000000,5.5,,,,,,,,,,,,,,,,,,,,,,
Rob Cohen,121,31704416,Action,Stealth ,English,USA,135000000,5,,,,,,,,,,,,,,,,,,,,,,
Zack Snyder,215,107503316,Action,Watchmen ,English,USA,130000000,7.7,,,,,,,,,,,,,,,,,,,,,,
Richard Donner,127,129734803,Action,Lethal Weapon 4 ,English,USA,140000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Ang Lee,138,132122995,Action,Hulk ,English,USA,137000000,5.7,,,,,,,,,,,,,,,,,,,,,,
Jon M. Chu,122,122512052,Action,G.I. Joe: Retaliation ,English,USA,130000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Breck Eisner,124,68642452,Action,Sahara ,English,UK,130000000,6,,,,,,,,,,,,,,,,,,,,,,
Hironobu Sakaguchi,106,32131830,Action,Final Fantasy: The Spirits Within ,English,USA,137000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Joe Johnston,124,176636816,Action,Captain America: The First Avenger ,English,USA,140000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Michael Apted,128,126930660,Action,The World Is Not Enough ,English,UK,135000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Peter Weir,138,93926386,Action,Master and Commander: The Far Side of the World ,English,USA,150000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Bill Condon,115,292298923,Adventure,The Twilight Saga: Breaking Dawn - Part 2 ,English,USA,120000000,5.5,,,,,,,,,,,,,,,,,,,,,,
George Miller,100,63992328,Animation,Happy Feet 2 ,English,Australia,135000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Louis Leterrier,135,134518390,Action,The Incredible Hulk ,English,USA,150000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Steven Spielberg,117,52792307,Adventure,The BFG ,English,UK,140000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Alejandro G. Iñárritu,156,183635922,Adventure,The Revenant ,English,USA,135000000,8.1,,,,,,,,,,,,,,,,,,,,,,
David Soren,96,83024900,Adventure,Turbo ,English,USA,135000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Gore Verbinski,107,123207194,Adventure,Rango ,English,USA,135000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Eric Darnell,92,83348920,Adventure,Penguins of Madagascar ,English,USA,132000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Paul Greengrass,115,227137090,Action,The Bourne Ultimatum ,English,USA,110000000,8.1,,,,,,,,,,,,,,,,,,,,,,
Mark Osborne,92,215395021,Action,Kung Fu Panda ,English,USA,130000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Peyton Reed,117,180191634,Action,Ant-Man ,English,USA,130000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Francis Lawrence,146,424645577,Adventure,The Hunger Games: Catching Fire ,English,USA,130000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Bill Condon,115,292298923,Adventure,The Twilight Saga: Breaking Dawn - Part 2 ,English,USA,120000000,5.5,,,,,,,,,,,,,,,,,,,,,,
Tim Johnson,94,177343675,Adventure,Home ,English,USA,135000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Steven Spielberg,116,234277056,Adventure,War of the Worlds ,English,USA,132000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Michael Bay,147,138396624,Action,Bad Boys II ,English,USA,130000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Chris Miller,90,149234747,Action,Puss in Boots ,English,USA,130000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Phillip Noyce,101,118311368,Action,Salt ,English,USA,110000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Darren Aronofsky,138,101160529,Action,Noah ,English,USA,125000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Steven Spielberg,107,77564037,Action,The Adventures of Tintin ,English,USA,135000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Alfonso Cuarón,142,249358727,Adventure,Harry Potter and the Prisoner of Azkaban ,English,UK,130000000,7.8,,,,,,,,,,,,,,,,,,,,,,
